fish_name,scientific_name,family,genus,gear,fisher_ID,date,month,year,village,time_decimal,total_weight,number_fish,total_sold,total_consumed
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,5/30/2016,5,2016,2,4.33,0.95,11,0.95,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,29,4/26/2017,4,2017,1,7.42,15.18971441,200,15.18971441,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,5/15/2017,5,2017,1,3.5,2.126560017,28,2.126560017,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,4/23/2016,4,2016,1,5,2.278457161,30,2.278457161,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,7/8/2016,7,2016,1,6.25,3.493634314,46,3.493634314,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,2/15/2017,2,2017,1,4.92,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,1/31/2017,1,2017,3,3.5,2.175,30,2.175,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,22,8/19/2016,8,2016,1,3.28,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,8,5/27/2017,5,2017,2,3.42,6.595,86,6.595,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,8/12/2016,8,2016,1,3.75,5.164502899,68,5.164502899,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,10/14/2016,10,2016,4,2,8.14,74,8.14,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,6/15/2016,6,2016,2,5.75,0.445,4,0.445,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,9/30/2016,9,2016,1,1.83,0.303794288,4,0.303794288,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,1,2/22/2017,2,2017,1,5.02,0.035,2,0,0.035
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,6/20/2016,6,2016,2,4.17,0.6,6,0.6,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,47,8/12/2016,8,2016,1,4.58,2.126560017,28,2.126560017,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,2/22/2017,2,2017,1,7.42,1.367074297,18,1.367074297,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,45,10/30/2016,10,2016,5,5.5,0.355,3,0.355,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,4/23/2016,4,2016,1,2.67,2.126560017,28,2.126560017,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,35,2/9/2016,2,2016,1,5.25,0.303794288,4,0.303794288,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,2/22/2017,2,2017,1,6.25,3.72148003,49,3.72148003,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,5/27/2017,5,2017,2,4,1.145,13,1.145,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,36,2/9/2016,2,2016,1,6.75,7.139165772,94,7.139165772,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,6/29/2016,6,2016,2,4.75,0.59,7,0.59,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,8/12/2016,8,2016,1,5.95,0.455691432,6,0.455691432,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,52,10/20/2016,10,2016,1,1.25,0.04,1,0,0.04
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,1/11/2017,1,2017,1,2.25,7.594857205,100,7.594857205,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,6/8/2017,6,2017,1,4.55,1.974662873,26,1.974662873,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,47,1/25/2017,1,2017,1,1.17,0.151897144,2,0.151897144,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,3,4/23/2016,4,2016,3,2.7,15.484,158,14.994,0.49
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,8/19/2016,8,2016,1,3.85,0.04,1,0.04,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,9/26/2016,9,2016,2,4.08,0.29,3,0,0.29
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,8/22/2016,8,2016,2,2.4,0.09,1,0,0.09
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,2/11/2017,2,2017,3,2.93,0.175,4,0,0.175
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,8/23/2016,8,2016,1,6,11.39228581,150,11.39228581,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,10/23/2016,10,2016,2,4.75,1.9,21,1.9,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,3/23/2017,3,2017,1,5,1.518971441,20,1.518971441,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,4/23/2017,4,2017,3,2.57,0.305,5,0,0.305
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,10/16/2016,10,2016,3,2.7,0.42,6,0.42,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,17,9/19/2016,9,2016,2,3.57,0.4,4,0.4,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,29,4/23/2016,4,2016,1,4.13,1.367074297,18,1.367074297,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,2/15/2017,2,2017,1,6.8,0.085,1,0,0.085
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,2/26/2016,2,2016,1,6.42,1.518971441,20,1.518971441,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,4/28/2016,4,2016,5,2,3.648,38,3.648,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,8/5/2016,8,2016,2,4.33,0.165,2,0.165,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,14,6/16/2016,6,2016,2,4.92,0.12,1,0,0.12
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,39,5/15/2017,5,2017,1,3.42,0.07,1,0,0.07
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,5/29/2016,5,2016,1,5.35,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,14,7/22/2016,7,2016,3,3.85,9.175,136,8.755,0.42
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,9/1/2017,9,2017,2,4.58,1.425,15,1.425,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,49,2/9/2016,2,2016,1,6.5,1.063280009,14,1.063280009,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,6/15/2016,6,2016,2,3.3,0.08,1,0,0.08
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,38,10/20/2016,10,2016,1,3.5,0.05,2,0.05,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,1/31/2017,1,2017,3,3.75,2.01,26,1.41,0.6
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,7/10/2016,7,2016,3,3.35,1.06,18,0.748,0.312
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,7/16/2016,7,2016,2,2.67,0.22,2,0.22,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,4/23/2016,4,2016,1,6.8,1.898714301,25,1.898714301,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,17,10/26/2016,10,2016,2,4.8,9.41,101,9.41,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,8/5/2016,8,2016,2,4.4,0.08,1,0,0.08
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,57,5/15/2017,5,2017,1,4.83,4.556914323,60,4.556914323,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,4/19/2016,4,2016,4,2,0.115,1,0,0.115
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,30,5/30/2017,5,2017,3,3.87,2.28,38,1.64,0.64
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,5/15/2017,5,2017,1,6.55,7.594857205,100,7.594857205,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,49,8/6/2016,8,2016,1,4.08,4.936657183,65,4.936657183,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,47,1/11/2017,1,2017,1,1.75,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,3/25/2017,3,2017,3,2.32,6.565,124,6.115,0.45
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,22,5/15/2017,5,2017,3,3.03,2.52,36,2.52,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,5,4/15/2017,4,2017,3,2.25,0.975,12,0.655,0.32
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,8/22/2016,8,2016,2,6.58,0.075,1,0,0.075
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,9/26/2016,9,2016,4,3.33,6.928,63,6.928,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,2/24/2017,2,2017,4,3.5,0.829,13,0,0.829
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,7,3/31/2016,3,2016,5,5.5,0.968,44,0.968,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,3/12/2016,3,2016,1,6.27,1.291125725,17,1.291125725,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,12,7/17/2016,7,2016,3,2.83,1.57,22,1.195,0.375
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,9/24/2017,9,2017,2,6.58,0.163,2,0.163,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,4,4/26/2017,4,2017,1,4.45,5.012605755,66,5.012605755,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,4/22/2016,4,2016,2,4.33,0.395,5,0.395,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,5/6/2016,5,2016,1,2.58,0.055,1,0,0.055
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,49,8/19/2016,8,2016,1,4.73,0.835434293,11,0.835434293,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,6/20/2016,6,2016,2,3.33,0.035,1,0,0.035
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,8/6/2016,8,2016,1,5.27,9.113828646,120,9.113828646,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,5/29/2016,5,2016,1,4.3,1.291125725,17,1.291125725,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,37,8/23/2016,8,2016,1,3.65,0.035,1,0,0.035
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,7/26/2016,7,2016,1,3.17,1.215177153,16,1.215177153,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,4/22/2016,4,2016,2,5.5,0.47,7,0.47,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,9,7/22/2016,7,2016,3,5.47,47.15,589,46.19,0.96
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,9/22/2016,9,2016,2,3.32,0.12,1,0,0.12
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,3/23/2017,3,2017,1,3.42,8.354342925,110,8.354342925,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,8/26/2017,8,2017,4,3.5,0.845,9,0,0.845
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,47,4/28/2016,4,2016,1,4.25,0.151897144,2,0.151897144,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,4/22/2016,4,2016,2,5.5,0.33,5,0.33,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,1/11/2017,1,2017,1,3.5,0.303794288,4,0.303794288,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,3/25/2017,3,2017,3,3.03,2.09,44,1.55,0.54
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,2,2/9/2016,2,2016,1,5.75,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,7,3/22/2016,3,2016,2,4.5,2.42,33,2.42,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,3,2/26/2017,2,2017,3,7.33,36.15,973,35.52,0.63
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,4,7/24/2017,7,2017,1,3.5,1.746817157,23,1.746817157,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,38,10/26/2016,10,2016,1,2.75,0.303794288,4,0.303794288,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,4/22/2016,4,2016,5,5.5,1.955,23,1.579,0.376
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,2/11/2017,2,2017,3,2,0.29,3,0,0.29
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,24,2/26/2016,2,2016,1,4.92,0.435,12,0,0.435
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,2,10/29/2016,10,2016,3,1.63,0.08,1,0,0.08
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,26,5/15/2017,5,2017,3,3.1,4.38,73,4.055,0.325
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,3/22/2016,3,2016,2,3,2.93,34,2.93,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,6/8/2017,6,2017,1,4.37,1.139228581,15,1.139228581,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,1,1/11/2017,1,2017,1,0.67,22.78457161,300,22.78457161,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,5,9/26/2016,9,2016,3,4.07,11.25,140,10.13,1.12
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,6/16/2016,6,2016,2,4.93,0.43,4,0.43,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,9,11/26/2016,11,2016,2,4.75,0.38,5,0.38,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,8/19/2016,8,2016,1,3.85,4.177171463,55,4.177171463,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,22,7/20/2016,7,2016,1,3.35,0.37974286,5,0.37974286,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,8/6/2016,8,2016,1,3.55,0.37974286,5,0.37974286,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,7/10/2016,7,2016,4,3.67,0.99,8,0,0.99
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,3/18/2016,3,2016,1,5.58,0.085,1,0.085,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,3,5/27/2016,5,2016,5,5.17,1.416,12,0.944,0.472
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,15,9/22/2016,9,2016,2,4.33,0.47,5,0.47,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,39,9/23/2016,9,2016,1,2.3,0.987331437,13,0.987331437,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,18,8/7/2016,8,2016,3,3.1,0.433,6,0,0.433
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,2/26/2016,2,2016,1,6.42,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,12,1/31/2017,1,2017,3,3.5,1.04,13,1.04,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,2,3/26/2016,3,2016,3,2.7,8.468,146,8.468,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,6/22/2016,6,2016,5,2.08,1.064,10,0.664,0.4
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,6/29/2016,6,2016,2,5.97,0.115,1,0.115,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,2/27/2017,2,2017,1,5.93,5.316400043,70,5.316400043,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,1,6/22/2016,6,2016,5,1.67,0.434,5,0.434,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,2,9/17/2016,9,2016,3,1.75,2.2,46,1.05,1.15
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,35,11/14/2016,11,2016,4,2.33,14.708,140,14.708,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,8/7/2016,8,2016,3,3.55,5.96,82,5.4,0.56
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,5/14/2016,5,2016,1,2.7,0.11,2,0.11,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,49,10/20/2016,10,2016,1,4,0.303794288,4,0.303794288,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,4/22/2016,4,2016,2,5.5,2.41,37,2.41,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,4/28/2016,4,2016,1,4.77,1.898714301,25,1.898714301,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,2,25,2/24/2017,2,2017,2,2.33,1.63,51,0,1.63
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,9/22/2016,9,2016,2,3.2,0.19,2,0.19,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,39,4/15/2017,4,2017,1,5,1.139228581,15,1.139228581,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,4/10/2016,4,2016,2,3.33,2.545,31,2.545,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,16,11/26/2016,11,2016,2,7.25,2.035,24,2.035,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,5/8/2016,5,2016,2,4.5,1.05,16,1.05,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,8/12/2016,8,2016,3,0.62,0.14,3,0,0.14
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,10/27/2016,10,2016,2,4.42,0.12,1,0.12,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,12,4/28/2016,4,2016,1,2.75,0.987331437,13,0.987331437,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,11/19/2016,11,2016,5,5.5,1.248,12,1.248,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,18,9/26/2016,9,2016,3,3.75,0.8,10,0.8,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,10/16/2016,10,2016,3,2.5,0.325,4,0.325,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,4/20/2017,4,2017,1,4.7,1.822765729,24,1.822765729,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,5/8/2016,5,2016,2,4.5,5.925,67,5.925,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,4/28/2016,4,2016,1,3.15,1.139228581,15,1.139228581,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,16,8/7/2016,8,2016,3,1.65,2.96,37,2.16,0.8
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,20,8/12/2016,8,2016,3,3.4,2.565,34,1.765,0.8
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,50,2/26/2016,2,2016,1,4.75,0.607588576,8,0.607588576,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,5/14/2016,5,2016,4,4.33,0.75,7,0,0.75
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,2,3,3/14/2016,3,2016,2,4.33,0.065,2,0,0.065
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,12/18/2016,12,2016,3,1.47,0.11,1,0,0.11
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,10,6/11/2016,6,2016,3,2.3,0.145,2,0,0.145
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,3,7/17/2016,7,2016,3,2.82,4.035,54,3.225,0.81
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,6/20/2016,6,2016,2,5.23,0.04,1,0,0.04
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,2,3/26/2016,3,2016,3,3.05,14.876,222,14.312,0.564
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,23,11/13/2016,11,2016,3,2.2,1.62,18,0,1.62
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,11/13/2016,11,2016,3,3.4,5.94,67,5.94,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,14,7/22/2016,7,2016,2,4.33,0.075,1,0,0.075
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,54,5/23/2017,5,2017,1,6.62,7.822702921,103,7.822702921,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,7/17/2016,7,2016,3,4.2,7.13,92,6.335,0.795
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,33,7/26/2016,7,2016,1,3.17,3.949325746,52,3.949325746,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,4,3/23/2017,3,2017,1,6.08,16.70868585,220,16.70868585,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,7/23/2017,7,2017,1,6.92,2.278457161,30,2.278457161,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,10/9/2016,10,2016,4,3,20.218,179,20.218,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,9/21/2016,9,2016,2,4.08,0.375,5,0.375,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,23,6/9/2017,6,2017,4,6,1.855,12,1.855,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,7/23/2017,7,2017,1,4.22,1.518971441,20,1.518971441,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,4/1/2017,4,2017,2,4.33,2.215,35,2.215,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,35,2/22/2016,2,2016,1,7.75,5.468297187,72,5.468297187,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,15,10/25/2016,10,2016,4,2.5,1.044,9,0,1.044
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,8/19/2016,8,2016,5,5.67,0.383,5,0.383,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,2,41,5/6/2016,5,2016,1,3.08,0.065,1,0,0.065
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,32,2/26/2017,2,2017,3,7.18,23.829,567,22.989,0.84
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,9/14/2017,9,2017,2,4.33,0.163,2,0.163,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,22,9/19/2016,9,2016,4,1.83,3.06,34,3.06,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,6/8/2017,6,2017,1,5.83,30.37942882,400,30.37942882,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,29,5/30/2017,5,2017,3,3.03,6.45,86,5.49,0.96
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,5,1/31/2017,1,2017,3,3.58,1.4,21,0.56,0.84
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,31,9/28/2016,9,2016,1,4.93,1.443022869,19,1.443022869,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,42,7/24/2017,7,2017,1,7.73,0.607588576,8,0.607588576,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,47,5/15/2017,5,2017,1,3.83,1.215177153,16,1.215177153,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,27,2/22/2016,2,2016,1,3.25,0.45,10,0,0.45
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,5,5/26/2016,5,2016,3,5.17,1.248,16,0,1.248
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,1,2/11/2017,2,2017,1,2.67,0.03,1,0,0.03
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,5,11/13/2016,11,2016,3,3.2,1.35,15,0.9,0.45
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,34,8/7/2016,8,2016,3,2.75,1.885,26,1.435,0.45
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,13,6/20/2016,6,2016,2,5.17,0.9,9,0.9,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,3/22/2016,3,2016,2,4.08,0.665,12,0.56,0.105
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,30,11/10/2016,11,2016,4,3.33,10.557,96,10.557,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,28,4/28/2016,4,2016,1,3.67,0.75948572,10,0.75948572,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,49,10/1/2016,10,2016,1,4.48,4.405017179,58,4.405017179,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,17,8/7/2016,8,2016,3,2.4,0.977,13,0,0.977
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,9/30/2016,9,2016,1,6.25,3.417685742,45,3.417685742,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,36,10/9/2016,10,2016,1,5.33,0.335,3,0,0.335
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,18,8/9/2016,8,2016,2,5.58,0.04,1,0,0.04
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,35,5/14/2016,5,2016,1,3.68,0.37974286,5,0.37974286,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,9,8/22/2016,8,2016,2,3.42,0.315,3,0,0.315
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,34,8/23/2016,8,2016,1,7,21.26560017,280,21.26560017,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,34,6/8/2017,6,2017,1,6.9,2.278457161,30,2.278457161,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,2,3,3/26/2016,3,2016,2,4,0.205,5,0,0.205
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,19,4/26/2017,4,2017,4,4.17,1.516,16,1.516,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,8,27,5/15/2017,5,2017,3,3.05,5.04,72,4.48,0.56
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,6,4/18/2016,4,2016,2,4.33,0.25,3,0.25,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,12,1/31/2017,1,2017,3,2.6,2.64,33,2.34,0.3
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,28,6/9/2017,6,2017,4,3,0.155,1,0.155,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,3,4/12/2016,4,2016,3,1.78,0.098,1,0.098,0
tsaingatsainga,Rastreliger kanagurta,NA,Rastreliger,1,8,3/29/2017,3,2017,2,3.5,0.6,15,0.6,0
